Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,5.285000,5.288000,5.189000,5.265000,5.265000,14537000
2014-01-03,5.245000,5.296000,5.196000,5.285000,5.285000,11661000
2014-01-06,5.280000,5.340000,5.243000,5.249000,5.249000,12634000
2014-01-07,5.282000,5.306000,5.249000,5.299000,5.299000,13359000
2014-01-08,5.311000,5.392000,5.286000,5.378000,5.378000,22968000
2014-01-09,5.400000,5.417000,5.276000,5.323000,5.323000,12339000
2014-01-10,5.394000,5.402000,5.287000,5.330000,5.330000,16691000
2014-01-13,5.362000,5.378000,5.239000,5.264000,5.264000,13944000
2014-01-14,5.332000,5.584000,5.274000,5.527000,5.527000,34855000
2014-01-15,5.568000,5.718000,5.552000,5.697000,5.697000,27187000
2014-01-16,5.676000,5.696000,5.515000,5.543000,5.543000,24084000
2014-01-17,5.526000,5.642000,5.523000,5.614000,5.614000,31181000
2014-01-21,5.661000,5.682000,5.588000,5.611000,5.611000,16597000
2014-01-22,5.620000,5.718000,5.585000,5.715000,5.715000,25526000
2014-01-23,5.673000,5.715000,5.574000,5.605000,5.605000,15551000
2014-01-24,5.570000,5.599000,5.415000,5.449000,5.449000,17426000
2014-01-27,5.462000,5.525000,5.374000,5.445000,5.445000,21031000
2014-01-28,5.440000,5.480000,5.296000,5.472000,5.472000,25223000
2014-01-29,5.394000,5.594000,5.337000,5.407000,5.407000,23974000
2014-01-30,5.482000,5.527000,5.409000,5.505000,5.505000,11989000
2014-01-31,5.383000,5.529000,5.383000,5.464000,5.464000,15784000
2014-02-03,5.480000,5.517000,5.296000,5.326000,5.326000,11421000
2014-02-04,5.351000,5.416000,5.310000,5.401000,5.401000,13487000
2014-02-05,5.372000,5.473000,5.319000,5.398000,5.398000,9017000
2014-02-06,5.399000,5.587000,5.362000,5.520000,5.520000,18053000
2014-02-07,5.547000,5.684000,5.513000,5.657000,5.657000,17039000
2014-02-10,5.619000,5.648000,5.557000,5.631000,5.631000,12347000
2014-02-11,5.620000,5.816000,5.619000,5.807000,5.807000,17344000
2014-02-12,5.820000,5.980000,5.820000,5.894000,5.894000,25864000
2014-02-13,5.743000,5.951000,5.738000,5.908000,5.908000,22614000
2014-02-14,5.750000,5.838000,5.744000,5.808000,5.808000,28180000
2014-02-18,5.851000,5.851000,5.773000,5.837000,5.837000,15872000
2014-02-19,5.819000,5.842000,5.749000,5.770000,5.770000,14598000
2014-02-20,5.804000,5.903000,5.770000,5.900000,5.900000,22282000
2014-02-21,5.943000,5.950000,5.840000,5.855000,5.855000,17998000
2014-02-24,5.851000,5.999000,5.851000,5.957000,5.957000,20672000
2014-02-25,6.000000,6.000000,5.839000,5.900000,5.900000,26929000
2014-02-26,6.000000,6.349000,5.997000,6.190000,6.190000,49125000
2014-02-27,6.119000,6.222000,6.078000,6.138000,6.138000,16460000
2014-02-28,6.115000,6.197000,6.079000,6.170000,6.170000,15225000
2014-03-03,6.115000,6.247000,6.085000,6.174000,6.174000,15340000
2014-03-04,6.250000,6.410000,6.228000,6.335000,6.335000,36761000
2014-03-05,6.316000,6.423000,6.294000,6.308000,6.308000,24656000
2014-03-06,6.329000,6.391000,6.305000,6.364000,6.364000,12162000
2014-03-07,6.395000,6.395000,6.245000,6.275000,6.275000,15133000
2014-03-10,6.293000,6.342000,6.247000,6.280000,6.280000,13519000
2014-03-11,6.298000,6.365000,6.181000,6.202000,6.202000,16191000
2014-03-12,6.177000,6.331000,6.045000,6.318000,6.318000,23598000
2014-03-13,6.340000,6.450000,6.204000,6.268000,6.268000,35377000
2014-03-14,6.277000,6.325000,6.221000,6.268000,6.268000,13939000
2014-03-17,6.303000,6.399000,6.276000,6.341000,6.341000,13968000
2014-03-18,6.325000,6.401000,6.279000,6.382000,6.382000,13109000
2014-03-19,6.401000,6.488000,6.379000,6.441000,6.441000,17558000
2014-03-20,6.432000,6.539000,6.430000,6.531000,6.531000,19966000
2014-03-21,6.564000,6.583000,6.364000,6.390000,6.390000,23267000
2014-03-24,6.403000,6.436000,6.235000,6.316000,6.316000,24811000
