Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,133.517303,133.900696,131.360703,131.792023,109.689148,8649816
2014-01-03,131.887878,132.271271,131.360703,131.696182,109.609390,5752981
2014-01-06,132.558823,132.894287,130.114670,130.641846,108.731865,6125610
2014-01-07,131.696182,131.744110,130.402222,130.785614,108.851524,5159796
2014-01-08,131.073166,131.121094,129.970901,130.402222,108.532463,5397859
2014-01-09,130.977310,131.121094,129.060333,130.450150,108.572319,6533502
2014-01-10,130.306366,130.498077,128.724869,129.204117,107.535271,8102057
2014-01-13,129.299957,129.875046,127.862228,128.101852,106.617867,7181982
2014-01-14,128.629013,129.395813,128.149780,129.252029,107.575157,5205264
2014-01-15,130.114670,131.312790,129.443741,131.025238,109.050964,6648663
2014-01-16,130.450150,130.689774,129.779205,130.354294,108.492523,6812463
2014-01-17,128.820724,129.012421,125.945251,127.382988,106.019554,20290427
2014-01-21,128.101852,128.149780,124.795067,125.993179,104.862846,12506934
2014-01-22,126.041100,126.089027,124.555450,124.555450,103.666245,10156273
2014-01-23,124.507523,124.507523,122.350929,123.740730,102.988182,12112292
2014-01-24,122.542625,122.638474,119.571312,119.571312,99.517990,19949139
2014-01-27,121.056969,121.200745,119.331688,120.146408,99.996635,12634072
2014-01-28,121.392441,122.782249,121.248665,122.015457,101.552231,10521953
2014-01-29,121.440361,122.303001,120.577721,121.200745,100.874123,8269216
2014-01-30,122.207153,122.638474,121.392441,122.207153,101.711769,6279519
2014-01-31,120.817345,121.632057,120.194328,120.433952,100.235939,8416177
2014-02-03,120.433952,120.817345,116.552078,116.695847,97.124779,15743847
2014-02-04,117.558487,118.756599,116.935471,117.750183,98.002281,9568409
2014-02-05,117.223015,118.085655,116.552078,117.510567,97.802864,8400673
2014-02-06,118.852448,120.290176,117.989807,119.571312,99.517990,9332287
2014-02-07,120.769424,121.152817,119.810936,120.721497,100.475304,7244936
2014-02-10,121.679985,121.679985,119.475464,120.050552,99.916817,6886767
2014-02-11,120.817345,122.303001,120.577721,121.871681,101.432549,6799755
2014-02-12,122.542625,122.830170,121.488289,121.679985,101.273018,5264106
2014-02-13,120.913193,121.919609,120.338104,121.919609,101.472450,6751721
2014-02-14,122.063377,123.884506,121.632057,123.357338,102.669044,5201612
2014-02-18,124.651299,124.795067,122.926018,122.926018,102.310074,6096272
2014-02-19,123.069794,123.501114,121.584137,121.727905,101.312881,7072205
2014-02-20,121.296593,121.344513,119.906784,120.386024,101.071503,6734548
2014-02-21,120.386024,120.721497,119.523392,119.523392,100.347282,7750962
2014-02-24,119.906784,121.967529,119.619240,121.200745,101.755478,7934021
2014-02-25,121.632057,122.111305,120.625648,121.104897,101.675018,6904712
2014-02-26,121.392441,121.536209,120.290176,121.248665,101.795738,6214875
2014-02-27,120.817345,122.494698,120.529800,122.207153,102.600418,4760292
2014-02-28,122.398849,123.117714,121.296593,122.063377,102.479729,6142344
2014-03-03,120.817345,120.817345,119.427544,120.386024,101.071503,7138455
2014-03-04,122.303001,123.309418,122.015457,122.926018,103.203957,7645045
2014-03-05,123.549034,124.411674,122.926018,124.267899,104.330551,6286718
